ID,Credit_Limit,Gender,Education,Marital_Status,AGE_in_Years,Customer Category
2917,20000,1,3,2,26,Blacklist
8998,80000,1,2,2,31,Blacklist
4388,90000,1,2,1,35,Blacklist
2363,20000,1,2,2,24,Blacklist
832,20000,2,3,1,24,Blacklist
13636,20000,1,3,1,36,Blacklist
19323,60000,2,2,1,38,Blacklist
9980,30000,1,1,1,38,Blacklist
13262,60000,2,2,1,60,Blacklist
4337,330000,2,2,1,39,Blacklist
982,30000,1,2,2,29,Blacklist
23040,220000,2,1,1,41,Blacklist
4445,100000,1,2,2,36,Blacklist
18868,180000,2,2,2,28,Blacklist
11555,150000,1,1,1,42,Blacklist
9080,50000,1,2,2,26,Blacklist
650,20000,2,2,2,46,Blacklist
13713,20000,1,2,2,40,Blacklist
29800,20000,1,2,2,33,Blacklist
2757,200000,1,2,1,31,Blacklist
1895,100000,1,2,2,30,Blacklist
25870,510000,2,1,2,40,Blacklist
7947,20000,2,2,1,50,Blacklist
21510,30000,2,2,1,23,Blacklist
27157,30000,1,2,2,29,Blacklist
8773,220000,2,1,1,41,Blacklist
6754,20000,2,2,1,44,Blacklist
12967,400000,1,2,1,40,Blacklist
25144,30000,1,3,1,56,Blacklist
2325,200000,2,2,2,39,Blacklist
3786,80000,1,3,2,43,Blacklist
12877,20000,2,3,2,28,Blacklist
3538,220000,2,2,1,28,Blacklist
750,50000,2,2,2,25,Blacklist
22621,20000,2,2,1,43,Blacklist
9762,360000,1,2,1,33,Blacklist
17779,60000,2,2,1,59,Blacklist
19050,100000,2,1,1,30,Blacklist
1133,270000,1,1,1,44,Blacklist
29669,70000,1,2,1,42,Blacklist
5846,60000,2,2,1,59,Blacklist
29348,20000,1,2,2,27,Blacklist
5116,20000,1,2,2,31,Blacklist
28151,20000,2,3,2,48,Blacklist
25009,20000,1,3,1,50,Blacklist
190,20000,2,2,2,31,Blacklist
24287,200000,1,1,2,30,Blacklist
6628,60000,2,2,1,37,Blacklist
21202,20000,1,2,2,30,Blacklist
8844,40000,2,3,1,24,Blacklist
29196,10000,1,2,2,22,Blacklist
9821,20000,1,2,2,26,Blacklist
19215,150000,2,2,2,34,Blacklist
24004,20000,1,5,2,27,Blacklist
7857,300000,2,1,2,25,Blacklist
25193,30000,2,2,1,25,Blacklist
11244,30000,2,1,2,23,Blacklist
29414,100000,1,2,2,30,Blacklist
3540,30000,1,3,1,45,Blacklist
1993,580000,1,3,1,67,Blacklist
5013,30000,2,3,2,40,Blacklist
18260,20000,1,2,1,61,Blacklist
21481,20000,2,2,1,24,Blacklist
18040,30000,1,2,1,45,Blacklist
8508,20000,2,2,2,53,Blacklist
18004,70000,1,2,2,33,Blacklist
29977,40000,1,2,2,47,Blacklist
17087,30000,2,1,2,23,Blacklist
23510,110000,2,1,1,31,Blacklist
29161,20000,2,2,2,53,Blacklist
26785,160000,1,2,2,26,Blacklist
6321,30000,1,2,2,51,Blacklist
17319,120000,2,2,2,25,Blacklist
8222,10000,1,2,1,43,Blacklist
15854,60000,2,2,2,27,Blacklist
1862,10000,1,2,2,35,Blacklist
4016,100000,1,2,2,33,Blacklist
159,210000,1,3,1,45,Blacklist
8822,30000,2,2,2,23,Blacklist
13998,90000,1,3,1,31,Blacklist
20546,20000,1,2,1,30,Blacklist
17660,30000,2,2,1,44,Blacklist
16518,40000,1,2,2,24,Blacklist
4161,50000,1,1,2,25,Blacklist
18852,30000,2,2,1,30,Blacklist
13720,30000,2,2,1,27,Blacklist
20652,30000,1,2,1,22,Blacklist
13562,320000,1,1,1,46,Blacklist
671,30000,2,2,2,34,Blacklist
28082,10000,2,3,1,44,Blacklist
12775,20000,2,2,2,23,Blacklist
22832,50000,2,1,2,29,Blacklist
18100,30000,1,2,2,39,Blacklist
12520,100000,2,2,2,27,Blacklist
13784,10000,2,2,2,22,Blacklist
7531,270000,1,1,2,28,Blacklist
21812,20000,2,2,2,24,Blacklist
18020,130000,1,2,1,48,Blacklist
6557,20000,1,2,2,22,Blacklist
4014,20000,2,2,2,22,Blacklist
17245,50000,2,2,1,36,Blacklist
27743,30000,2,2,2,23,Blacklist
29745,30000,1,2,2,38,Blacklist
11105,30000,2,2,2,23,Blacklist
29666,20000,1,2,1,36,Blacklist
17249,20000,2,2,1,38,Blacklist
16938,20000,1,3,2,59,Blacklist
